Station ID,Station Name,Station Latitude,Station Longitude,end station id
3312,1 Ave & E 94 St,40.7817212,-73.94594,3312
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,3118
3453,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,3453
3396,Clinton St & 4 Place,40.6783563,-74.00014502,3396
391,Clark St & Henry St,40.69760127,-73.99344559,391
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,275
3676,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,3676
3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,3155
3490,E 116 St & 2 Ave,40.796879,-73.937261,3490
3137,5 Ave & E 73 St,40.77282817,-73.96685276,3137
3673,Dean St & Franklin Ave,40.67759206937376,-73.955637216568,3673
3297,6 St & 7 Ave,40.6686627,-73.97988067,3297
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,2023
3662,31 Ave & Steinway St,40.761293897289086,-73.916916847229,3662
501,FDR Drive & E 35 St,40.744219,-73.97121214,501
3412,Pacific St & Nevins St,40.6853761,-73.98302136,3412
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,3055
259,South St & Whitehall St,40.70122128,-74.01234218,259
484,W 44 St & 5 Ave,40.75500254,-73.98014437,484
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,3360
3760,Willoughby Ave & Wyckoff Ave,40.705614,-73.92153,3760
3762,3 Ave & Carroll St,40.677027,-73.9865,3762
3544,Underhill Ave & Pacific St,40.6804836,-73.9646795,3544
3761,Cedar St & Myrtle Ave,40.697842,-73.926241,3761
3521,Lenox Ave & W 111 St,40.7987859,-73.9523,3521
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,399
266,Avenue D & E 8 St,40.72368361,-73.97574813,266
3623,W 120 St & Claremont Ave,40.8109494,-73.9634,3623
3422,Columbia St & Degraw St,40.6859296,-74.00242364,3422
3502,Lexington Ave & E 111 St,40.7954121,-73.9441232,3502
303,Mercer St & Spring St,40.72362738,-73.99949601,303
3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,3242
473,Rivington St & Chrystie St,40.72110063,-73.9919254,473
3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,3534
